和子女王	And son queen 
萨伏依的玛丽·路易莎	Mary Luisa of Savoy 
德川善事	Tokugawa Charity 
英格兰当地政府	England local government 
西弘则	Nishihiro 
我为宫狂	I am crazy 
没人懂我	No one understands me 
环境和能源部长	Minister of environment and energy 
北京市公安局	Beijing Municipal Public Security Bureau 
伊贺国	Iga Kuni 
新温泉町	Shinonsen Town 
弗里德里希一世_(符腾堡)	Friedrich I_ (Wuerttemberg) 
花城街道	Huacheng Street 
张祖恩	Zhang Zuen 
人工智能	artificial intelligence 
提尔西特条约	Treaty of Tilsit 
尚维衡	Shang Weiheng 
永井大	Masaru Nagai 
方明和	Homeiwa 
富士电视台周一晚间九点连续剧	Fuji TV series Monday evening at 9 o'clock 
建业住宅集团（中国）有限公司	Jianye Housing Group (China) Co., Ltd. 
米尔顿凯恩斯_(英国国会选区)	Milton Keynes_ (UK Parliamentary District) 
伊朗足球超级联赛	Iran Premier League 
伊朗广播学院	Iran Broadcasting Institute 
加藤弘之	Hiroyuki Kato 
卡通网路工作室	Cartoon Network Studio 
孔宅里	Kong Zhaili 
巴黎和会	Paris Peace Conference 
圣但尼区_(塞纳-圣但尼省)	Saint-Denis District_ (Seine-Saint-Denis) 
迪保亚当比	DePaul Adamby 
陆军大学校	Army University 
沙阿王朝	Shah Dynasty 
山本五十六	Yamamoto Isoroku 
恒子女王	Queen of permanent 
解谜游戏	Puzzle game 
李东元	Li Dongyuan 
安托诺夫an-38	Antonov an-38 
中心城_(dc漫画)	Central City_(dc comics) 
夏陈安	Xia Chenan 
迷幻民谣	Psychedelic ballad 
崔允素	Choi Yunsu 
就是爱jk	Just love jk 
寂寞同盟	Lonely League 
手表设计师	Watch designer 
毛里裘斯君主	Lord Mauritius 
墨西哥历史	Mexican history 
河南话漯项片	Luoxiang Movies in Henan Dialect 
鸣条之战	Battle of Naruto 
广南qnk	Guangnan qnk 
光州足球俱乐部	Gwangju Football Club 
彩虹巨嘴鸟	Rainbow Toucan 
我的女友是九尾狐	My girlfriend is a nine-tailed fox 
保加洛域	Bougainvillea 
荷兰国会一院	First House of the Dutch Parliament 
巴勒斯坦阿拉伯起义	Palestine Arab Uprising 
星梦娱乐	Star Dream Entertainment 
保加利亚21岁以下国家足球队	Bulgarian Under-21 National Football Team 
阿尔伯特_(瑞典国王)	Albert_ (King of Sweden) 
大泽伸一	Shinichi Ohsou 
恐怖庞克	Horror punk 
宁波天宁寺	Ningbo Tianning Temple 
高阳方言	Gaoyang dialect 
中厝里	Zhongcuoli 
连方瑀	Lian Fangyu 
霍兆刚	Huo Zhaogang 
5人制（盲人）足球	5-a-side (blind) football 
西班牙邮政编码列表	Spain postal code list 
斯图加特踢球者足球俱乐部	Stuttgart Kicker Football Club 
路易斯结构	Lewis structure 
中西保志	Nakanishi Yasushi 
午夜追踪	Midnight tracking 
岩下敬辅	Keisuke Iwashita 
科学发展观	Scientific outlook on development 
大苓里	Dalingli 
小林成豪	Kobayashi Chenghao 
李同国	Li Tongguo 
李宝英	Li Baoying 
印度海岸警卫队	Indian Coast Guard 
古川车站	Furukawa Station 
山田尚子	Naoko Yamada 
成久王妃房子内亲王	Prince Seongjiu's house 
汽车工业	auto industry 
织田犬	Oda 
塞尔维亚19岁以下国家足球队	Serbia Under-19 National Football Team 
地主园秀美	Beautiful Landlord Garden 
中国教育电视台	China Education Television 
法兰西公学院	Public College of France 
爱的大行进	The march of love 
加拿大邮政编码	Canadian Postcode 
花是爱	Flower is love 
田川七左卫门	Tagawa Shichizaemon 
声音合成机	Voice synthesizer 
巴基斯坦穆斯林联盟（领袖派）	Pakistan Muslim League (Leadership) 
李氏朝鲜君主列表	List of Lee's Korean monarchs 
超人小组	Superman Team 
教宗柏拉奇二世	Pope Plachi II 
独立电视公司	Independent television company 
南乔治亚岛和南桑威奇群岛	South Georgia and the South Sandwich Islands 
挪威学院	Norwegian Academy 
伊莎贝拉_(阿拉贡)	Isabella_ (Aragon) 
美国副国家安全顾问	U.S. Deputy National Security Advisor 
罗伯特·舒曼_(政治人物)	Robert Schumann_ (political figure) 
成田山新胜寺	Naritasan Shinshoji Temple 
英国王家学会	Royal Society 
渐近自由	Asymptotic freedom 
中国共产党山西省委员会	Shanxi Provincial Committee of the Communist Party of China 
两天一夜_(中国版)	Two Days and One Night_ (China Version) 
达拉斯足球会	Dallas Football Club 
冰岛统治者列表	List of rulers of Iceland 
郑玴赞	Zheng Dingzan 
手机娱乐	Mobile entertainment 
伊斯兰民主主义	Islamic Democracy 
十二伊玛目派	Twelve Imams 
玻璃芭蕾舞娘	Glass ballerina 
锡瓦斯体育	Sivas Sports 
multi-touch	multi-touch 
喀尔喀-卡尔梅克-达卡特支系	Khalkha-Kalmyk-Dakat branch 
货币经济学	Monetary economics 
秘密之森	Secret Forest 
meico	meico 
吕嘉	Lu Jia 
太原府	Taiyuan Mansion 
美林正大投资集团	Merrill Lynch Zhengda Investment Group 
棚桥泰文	Penang Bridge in Thai 
土方岁三	Earthwork Year Three 
光中大宝	Light medium treasure 
另类全球化运动	Alternative Globalization Movement 
常备舰队	Standing fleet 
大野和成	Kazunari Ono 
擎天娱乐	Kintian Entertainment 
黑天使制作	Black angel production 
冯素波	Feng Subo 
香港大主教	Archbishop of Hong Kong 
火炬行动	Operation Torch 
爱奥尼亚哲学	Ionian philosophy 
德国u17足球代表队	Germany U17 National Football Team 
厦门蓝狮	Xiamen Blue Lion 
女子音乐组合	Girl music group 
阳咏存	Yang Yongcun 
四街道市	Yotsukaido City 
马来西亚政治	Malaysian politics 
旋风管家_(电视剧)	Hayate the Combat Butler_ (TV series) 
东盟足球锦标赛	ASEAN Football Championship 
阿努尔夫_(东法兰克)	Anulf_ (East Franco) 
弗朗西斯·约瑟夫王子_(巴腾堡)	Prince Francis Joseph_ (Battenberg) 
jp:藤原寛子	jp: Hiroko Fujiwara 
重摇滚	Heavy rock 
统一与进步委员会	Unity and Progress Committee 
摩里斯县_(新泽西州)	Morris County_(New Jersey) 
中国内地电话区号	Mainland China telephone area code 
直布罗陀总督	Governor of Gibraltar 
南湖体育场	South Lake Stadium 
松尾早人	Hayato Matsuo 
单身公主相亲记	Single Princess Blind Date 
沙加缅度郡_(加利福尼亚州)	Sacramento County_ (California) 
阿尔伯特_(什勒斯维希-霍尔斯坦)	Albert_(Schleswig-Holstein) 
小岛干敏	Kojima Kanto 
鼓打贝斯乐团列表	List of Drums and Bass Bands 
澳洲英语	Australian English 
贵乃花光司	Takanohana Koji 
xl唱片	xl record 
沙漠之春行动	Operation Desert Spring 
辛德勒的名单	Schindler's List 
化学热力学	Chemical thermodynamics 
葡萄牙足球协会	Portuguese Football Association 
镰田大地	Daichi Kamada 
辛巴威非洲民族联盟－爱国阵线	Zimbabwe african national union-patriotic front 
孙璐西	Sun Luxi 
第210集	Episode 210 
雅盖隆王朝时期的波兰	Poland during the Jagiellonian Dynasty 
探索传播	Explore the spread 
爱尔兰国民军	Irish National Army 
特里同	Triton 
叙达尔涅斯	Sydarnes 
三井牟须	Mitsui Mousu 
大策零敦多布	Daze Ling Dundobu 
朝鲜民主主义人民共和国城市列表	List of cities in the Democratic People's Republic of Korea 
杰克逊县_(科罗拉多州)	Jackson County_(Colorado) 
亚太高校书院联盟	Asia-Pacific University College Alliance 
北美乔松	North American Joe Pine 
安平大君	Anping Maharaja 
wi-fi直连	wi-fi direct connection 
新加坡国庆日	Singapore National Day 
浄法寺五郎	Goro Johoji 
.td	.td 
合蚌客运专线	Hebang Passenger Dedicated Line 
乌雷_(犹他州)	Ouray_ (Utah) 
软体框架	Software framework 
本质还原	Essential reduction 
背风安的列斯群岛	Leeward Antilles 
国家信访局来访接待司	National Bureau of Letters and Calls 
木村隆秀	Kimura Takahide 
伊武雅刀	Masato Ibu 
克雷沃联合	Crevo Union 
安倍洋子	Yoko Abe 
瓦里奥系列	Wario series 
原始印欧语	Proto-Indo-European 
普鲁士科学院	Prussian Academy of Sciences 
aok卡基拿	aok kakina 
日光时间	Daylight time 
露易丝_(黑塞-卡塞尔)	Louise_ (Hesse-Kassel) 
内布拉斯卡大学	University of Nebraska 
易洛魁语系	Iroquois 
亨利·丹达斯，第一代梅尔维尔子爵	Henry Dandas, the first Viscount Melville 
美国战略司令部	U.S. Strategic Command 
叙利亚基督教	Syrian Christianity 
每日秀	Daily show 
妖精尾巴_(虚构组织)	Fairy Tail_ (fictional organization) 
拒绝兵役	Refusal of military service 
动画工作室	Animation studio 
eulisp	eulisp 
流行70	Popular 70 
女真语	Jurchen 
巴甫洛达尔额尔齐斯足球俱乐部	Pavlodar Irtysh Football Club 
高建进	Gao Jianjin 
w:en:dulwich	in: en: dulwich 
松柏目	Conifers 
乔治·伯克利_(英国军官)	George Berkeley_ (British Officer) 
希尔伯特的23个问题	Hilbert's 23 Questions 
阿佛洛狄忒	Aphrodite 
二苓里	Erlingli 
canonical公司	canonical 
新竹县立体育场	Hsinchu County Stadium 
丰台体育中心体育场	Fengtai Sports Center Stadium 
姆尔德贾	Moldja 
天命：朝鲜版逃亡者故事	Mandate of Heaven: The North Korean Fugitive Story 
时事评论员	Current affairs commentator 
ns允智	ns Yunji 
让-克劳德·戈丹	Jean-Claude Godin 
1997年亚洲女子足球锦标赛	1997 Asian Women's Football Championship 
酒井寿	Sakai Hisa 
东京足球俱乐部	Tokyo Football Club 
克卢日-纳波卡	Cluj-Napoca 
法国王太子	Prince of France 
伊拉克复兴社会党	Iraqi Baath Socialist Party 
cg语言	cg language 
4minute	4minute 
松浦勇武	Matsuura Yutake 
张豪伟	Zhang Haowei 
铁克诺音乐	Techno Music 
拜占庭礼	Byzantine Rite 
潘朝晖	Pan Zhaohui 
小西行长	President Konishi 
格拉尼特县_(蒙大拿州)	Granite County_(Montana) 
塞纳河畔阿涅勒	Asnieres-sur-Seine 
曼尼普尔高等法院	Manipur High Court 
伦敦德里侯爵	Marquis of Londonderry 
大爆炸	Big explosion 
庞克爵士	Sir Punk 
一木正惠	Masae Ichiki 
中央人民政府铁道部	Ministry of Railways of the Central People's Government 
九二共识	Consensus of 1992 
多神论	Polytheism 
南卡罗莱纳州立大学	South Carolina State University 
石川光九	Ishikawa Kokuji 
城东区_(大阪市)	Joto Ward_(Osaka City) 
明田川仁	Jin Aketagawa 
滚动更新	Rolling update 
唐吉轲德_(日本电视剧)	Don Quixote_ (Japanese TV series) 
中华民族	Chinese nation 
多伦多皮尔逊国际机场	Toronto Pearson International Airport 
利德尔的威克男爵	Baron Wick of Liddell 
马来西亚紧急状态	State of emergency in malaysia 
伊留申航空集团	Ilyushin Airlines Group 
唐长安城	Tang Chang'an City 
韦斯特兰海王	Westland Sea King 
黄金分割率	Golden ratio 
拉拍盘呢王后	Queen of La Pai Pan 
南方鹤鸵	Southern cassowary 
国家独立学院和大学协会	National Association of Independent Colleges and Universities 
深井一希	Fukai Kazue 
飞哥与小佛：星际大战	Phineas and Ferb: Star Wars 
青木周蔵	Aoki Shuzo 
givova	givova 
第一代格洛斯特和爱丁堡公爵威廉亲王	The first generation of Gloucester and Prince William, Duke of Edinburgh 
全非运动会足球比赛	All-Africa Games Football Match 
伊莉莎白·安司孔	Elizabeth Anscon 
盛荣华	Sheng Ronghua 
欢乐满东华	Happy Donghua 
新田部亲王	Prince Nittabe 
石硖尾	Shek Kip Mei 
尼克‧费兰西	Nick Ferranci 
赵婴齐_(南越国)	Zhao Yingqi_(Southern Vietnam) 
安舒茨娱乐集团	Anschutz Entertainment Group 
何泓讳	He Hongyu 
丰田章男	Toyoda Akio 
hensbroek	hensbroek 
传承美丽经典	Inherit the beautiful classics 
真爱如血_(第四季)	True Love Is Like Blood_ (Season 4) 
斯洛文尼亚足球乙级联赛	Slovenia Football League Two 
天津天后宫	Tianjin Tianhou Temple 
野村盛秀	Morihide Nomura 
希尔伯特空间	Hilbert Space 
盎鲁效应	Unruh effect 
吴友富	Wu Youfu 
肯塔基州第七国会选区	Seventh Congressional District of Kentucky 
蔡兆阳	Cai Zhaoyang 
纯裕勤太妃	Toffee Jun Yuqin 
bbc电视台	bbc television 
学季制	Quarter system 
棣棠花	Ditang Flower 
floyd-warshall算法	floyd-warshall algorithm 
东京学艺大学	Tokyo Gakugei University 
拉丁美洲音乐	Latin american music 
第二次俄土战争	Second Russian-Turkish War 
兹雷尼亚宁	Zrenjanin 
般奴·哥迪斯	Bannu Goddes 
中国共产党江苏省委员会	Jiangsu Provincial Committee of the Communist Party of China 
北京市人民政府	Beijing Municipal People's Government 
临床心理学	Clinical psychology 
大学城奥林匹克体育场	University City Olympic Stadium 
济南西站	Jinan West Railway Station 
福贵人_(乾隆帝)	Fu Guiren_ (Emperor Qianlong) 
福喜宫文秀女王	Queen Fushigong Wenxiu 
第二次世界大战抵抗运动	Resistance Movement of the Second World War 
修杰楷	Xiu Jiekai 
菲律宾摇滚	Filipino Rock 
邱珮琳	Qiu Peilin 
克里米亚半岛	Crimea 
挪威诺贝尔研究所	Norwegian Nobel Institute 
披头四乐团披头四	The Beatles The Beatles 
神经内科	Neurology 
澳洲摇滚	Australian Rock 
财政部大楼_(华盛顿特区)	Treasury Building_ (Washington DC) 
流行电子音乐	Pop electronic music 
塔吉克斯坦国家银行	National Bank of Tajikistan 
超音速客机	Supersonic airliner 
凉都体育中心	Liangdu Sports Center 
波丽士大人	Lord Polis 
崔玉英	Cui Yuying 
浦东话	Pudong dialect 
文南里_(路竹区)	Wennanli_(Luzhu District) 
不伦瑞克大教堂	Brunswick Cathedral 
巴东得腊	Padang Dela 
八大hd戏剧台	Eight hd drama stations 
台湾总督	Governor of Taiwan 
威廉王子_(坎伯兰公爵)	Prince William_ (Duke of Cumberland) 
库纳-德马顿干迪特区	Kuna-de-Maton Gandhi District 
罗杰斯县_(奥克拉荷马州)	Rogers County_ (Oklahoma) 
腓特烈·威廉_(什勒斯维希-霍尔斯坦-索恩德堡-格吕克斯堡公爵)	Frederick Wilhelm_ (Duke of Schleswig-Holstein-Sorndeburg-Glücksburg) 
雪梨足球场	Sydney Football Stadium 
笠原昂史	Kasahara Ashi 
霍华德·休斯医学研究所	Howard Hughes Medical Institute 
潟上市	Katagami City 
庆和桑那	Khanh Hoa Sauna 
伦巴第	Lombardy 
国际法院	International Court of Justice 
阿联酋足球甲级联赛	UAE Football League 
三木良太	Ryota Miki 
辛东根	Sindongen 
开放式世界	Open world 
傅-克反应	Friedel-Crafts reaction 
肇庆恒泰足球俱乐部	Zhaoqing Hengtai Football Club 
德国u19足球代表队	Germany U19 National Football Team 
马尔他独立日	Malta Independence Day 
doppelgangers_(how_i_met_your_mother)	doppelgangers_(how_i_met_your_mother) 
议会制君主立宪制	Parliamentary monarchy 
中东大洋洲语言	Middle East and Oceania languages 
阿马尔里克_(耶路撒冷国王)	Amalric_ (King of Jerusalem) 
大力神三号	Hercules III 
爱尔兰卫队	Irish Guard 
中央人民政府民族事务委员会	Ethnic Affairs Commission of the Central People's Government 
唐西尼勋爵	Lord Donsini 
古原靖久	Yasuhisa Furuhara 
盖伊·史提尔二世	Guy Still II 
青岛流亭国际机场	Qingdao Liuting International Airport 
水原fmc女子足球俱乐部	Suwon FMC Women's Football Club 
近冈理一郎	Riichiro Chika 
巴基斯坦参议院主席	Chairman of the Senate of Pakistan 
陈佩然	Chen Peiran 
西宁西门体育场	Xining Ximen Stadium 
沙特阿拉伯国奥	Saudi Arabia National Olympics 
finta	fake 
弗拉芒议会	Flemish Parliament 
宗教事务银行	Religious Affairs Bank 
digiturk	digiturk 
100欧元纸币	100 euro banknotes 
猪湾事件	Bay of Pigs Incident 
沙漠训练中心	Desert Training Center 
嫡福晋	Fu Jin 
金晶和	Jin Jinghe 
mr._h.c.j.l._(harry)_borghouts	mr_h.c.j.l ._ (harry) _borghouts 
jean-paul_benzécri	jean-paul_benzécri 
张婉婷_(助理编导)	Wanting Zhang_(Assistant Choreographer) 
成都武侯祠	Chengdu Wuhou Temple 
最终幻想_零式	Final Fantasy_Zero 
itvbe	itvbe 
香港培正中学	Hong Kong Pui Ching Middle School 
青森县旗	Aomori Prefecture Flag 
丹麦足球甲级联赛	Danish Football League 
祖国统一民主主义战线	The democratic front for the reunification of the motherland 
.ir	.ir 
欧洲民主青年左翼网络	European Democratic Youth Left Network 
世界大学联盟	World University Alliance 
zh-classical:柬埔寨国家银行	zh-classical: National Bank of Cambodia 
泉男生	Spring boy 
松本纯	Matsumoto Jun 
东肯塔基大学	Eastern Kentucky University 
韩国内阁	Korean Cabinet 
奇哥加州州立大学	Chico California State University 
.at	.at 
重机枪	Heavy machine gun 
萧伟强	Xiao Weiqiang 
中国基督教	Chinese Christianity 
行政长官	Chief Executive 
衣索比亚宗教	Religion in Ethiopia 
俄罗斯联邦会议国家杜马主席	Chairman of the State Duma of the Assembly of the Russian Federation 
英国国家铁路网	National Railway Network 
纳什维尔之音	Voice of Nashville 
哈斯克尔县_(奥克拉荷马州)	Haskell County_ (Oklahoma) 
海上巡逻机	Maritime patrol aircraft 
洛卡比里	Lokabiri 
良子内亲王	Prince of ryoko nei 
秘境探险系列	Mystery Adventure Series 
菲利普_(希腊王子)	Philip_ (Prince of Greece) 
精细结构常数	Fine structure constant 
福隆经纪	Fulong Broker 
张祐荣	Zhang Yourong 
德川比吕姬	Tokugawa Hiruki 
