节奏蓝调	Rhythm and blues 
莱诺·丁尼生，第三代丁尼生男爵	Leno Tennyson, the third Baron Tennyson 
沈家门	Shenjiamen 
吴庆瑞	Wu Qingrui 
加鲁阿棉花运动足球俱乐部	Garua Cotton Sports Football Club 
dorsten	thirst 
诗丽吉王后	Queen Sirikit 
席哈克略王朝	Sehakli Dynasty 
欧洲保守派和改革主义者	European conservatives and reformists 
巴隆郡政府	Baron County Government 
弗罗西诺内	Frosinone 
高野光司	Koji Takano 
水川麻美	Mizukawa Asami 
milstar	milstar 
螺丝小姐要出嫁	Miss Screw is getting married 
简体中文	Simplified Chinese 
松平家治	Matsudaira Ieharu 
蒙特勒伊_(塞纳-圣但尼省)	Montreuil_ (Seine-Saint-Denis) 
徐庆钟	Xu Qingzhong 
阿布扎比酋长国酋长	Emirate of Abu Dhabi 
圣艾蒂安足球俱乐部	Saint Etienne Football Club 
skravena	shortened 
行政区政府主席	Chairman of the District Government 
胡丕福	Hu Pifu 
爱与兽	Love and beast 
猎人谷自治市	Hunter Valley Municipality 
罗清泉	Luo Qingquan 
列维达	Levida 
利奥波德二世_(比利时)	Leopold II_ (Belgium) 
凡尔赛足球俱乐部	Versailles Football Club 
悫惠皇贵妃	Royal Concubine Chi Hui 
伊斯兰恐怖主义	Islamic terrorism 
约阿希姆·绍尔	Joachim Sauer 
张美妮	Zhang Mini 
神庙遗址圣母堂	Church of Our Lady of the Temple Ruins 
北京师范大学珠海分校	Beijing Normal University, Zhuhai 
mit台湾志	mit Taiwan History 
魏孝静帝	Emperor Wei Xiaojing 
德国福音教派	German Evangelicals 
余绍祺	Yu Shaoqi 
编译语言	Compiled language 
科布伦茨足球俱乐部	Koblenz Football Club 
希腊大区	Greece 
法外风云	Extrajudicial Storm 
.lu	.road 
岩屋毅	Takeshi Iwaya 
叶子菁	Ye Ye Jing 
自然科学	Natural sciences 
超市夜未眠	Sleepless in the supermarket 
约翰·庞森比，第四代贝斯伯勒伯爵	John Ponsonby, 4th Earl of Besborough 
世界女子手球锦标赛	World Women's Handball Championship 
金后衍	Jin Houyan 
shock!	shock! 
魔法少女	Magical girl 
苏格兰地方政府	Scottish local government 
kbs月火迷你连续剧	kbs moonfire miniseries 
.ne	.born 
李公蕴	Li Gongyun 
玛理诺一世	Marino I 
噶尔丹策零	Galdan Tser 
从一位	From one 
汉诺瓦王朝	Hanoi Dynasty 
台湾统治者	Ruler of Taiwan 
步兵第13联队	13th Infantry Wing 
查塔姆_(肯特郡)	Chatham_(Kent) 
耶路撒冷围城战_(1244年)	Siege of Jerusalem_ (1244) 
宇多田照实	Teruzane Utada 
东三条院	Tosanjoin 
伊斯兰议会	Islamic Council 
长冈京	Nagaokakyo 
中国共产党中央书记处	Secretariat of the Communist Party of China 
联合航空制造公司	United Aviation Manufacturing Company 
八大第一台	Eight first 
木管乐器	Woodwind instrument 
秋山暮霭图	Autumn Mountain Evening Haze 
比利时行政区划	Administrative divisions of Belgium 
波士尼亚战争	Bosnian War 
法式浩室	Legal House 
北大年府	Pattani House 
王君正	Wang Junzheng 
曹活明	Cao Huoming 
非洲人国民大会妇女联盟	African National Congress Women's Union 
今川义元	Imagawa Yoshimoto 
中华民国海军	Republic of China Navy 
倪桂珍	Ni Guizhen 
英国驻德国大使	British Ambassador to Germany 
多玩	Play more 
玛丽亚·皮亚_(两西西里，1849－1882)	Maria Pia_ (Two Sicily, 1849-1882) 
变体假名	Variant pseudonym 
艾因阿拉伯	Al Ain Arab 
vydas_gedvilas	vydas gedvilas 
利比亚绿色革命	Libya Green Revolution 
亚洲电视	Asia Television 
bd邮区	bd postal area 
胶冷杉	Gum fir 
第三代剑桥伯爵科尼斯堡的理查	Richard of Königsberg, 3rd Earl of Cambridge 
中国共产党安徽省委员会	Anhui Provincial Committee of the Communist Party of China 
艾莉安娜_(荷兰公主)	Ariana_ (Dutch Princess) 
越南国家女子足球队	Vietnam National Women's Football Team 
中国人民政治协商会议第九届全国委员会委员名单	List of members of the Ninth National Committee of the Chinese People's Political Consultative Conference 
大多喜町	Otaki Town 
黄眉姬鹟	Yellow-browed Flycatcher 
海牙体育场	The Hague Stadium 
贝伦加尔一世	Belengar I 
连震东	Lian Zhendong 
米尔顿镇区_(马里昂县)	Milton Township_ (Marion County) 
捷克斯洛伐克军团	Czechoslovak Legion 
光盘单曲	CD single 
埃森博阿国际机场	Esenboga International Airport 
黄金海岸机场	Gold Coast Airport 
仁者侠医	Benevolent doctor 
斯洛文尼亚共产主义者联盟	Slovenian Communist League 
中野裕太	Yuta Nakano 
伊朗参议院	Iranian Senate 
莲花乐队	Lotus 
阿梅迪奥·茨沃尼米尔_(奥斯塔公爵)	Amedio Zvonimir_ (Duke of Aosta) 
特斯科科_(墨西哥州)	Tescoco_ (State of Mexico) 
穆罕默德·查希尔沙	Mohamed Zahirsha 
千叶道德	Chiba Morality 
苏格兰议会议员	Member of the Scottish Parliament 
福克兰群岛行政长官	Chief Executive of the Falkland Islands 
.py	.py 
滨田_水辉	Hamada_Shuihui 
朱里亚·克劳狄王朝	Julia Claudius 
经典电动力学	Classical electrodynamics 
红冠蕉鹃	Red Turaco 
宇野实彩子	Uno Mikako 
国际商管学院促进协会	International Business School Promotion Association 
瑛太	Eita 
御厨贵文	Royal Kitchen Guiwen 
吴慧潾	Wu Hyelin 
尚永王	King Shang Yong 
第18空降军	18th Airborne Corps 
查尔斯·沃森-文特沃斯	Charles Watson-Wentworth 
密西西比大学叛逆者	University of Mississippi Rebel 
涿郡	Zhuojun 
潭底里	In the bottom of the pond 
金泽慎	Kanazawa 
维多利亚女皇	Queen Victoria 
武田广	Takeda Hiroshi 
开源软件	Open source software 
宾夕法尼亚州议会	Pennsylvania State Assembly 
南斯拉夫统治者列表	List of rulers of Yugoslavia 
斯坦尼斯劳斯县_(加利福尼亚州)	Stanislaus County_ (California) 
托雷斯德韦雷连	Torres de Verelian 
村井仁	Jin Murai 
中华民国历史	History of the Republic of China 
瑞士法郎	Swiss franc 
尼尔·珀维斯和罗伯特·韦德	Neil Purvis and Robert Wade 
所意	Intended 
.pg	.pg 
小森美果	Mika Komori 
慈宫皇太后	Empress Dowager Ci Gong 
周子娱乐	Zhouzi Entertainment 
华盛顿州州长官邸	Governor's Residence of Washington State 
北格拉斯哥_(英国国会选区)	North Glasgow_(British Parliamentary District) 
自治领事务大臣	Minister of dominion affairs 
逻辑原子论	Logical atomism 
固伦恪靖公主	Princess Gulun Kejing 
河井阳介	Shosuke Kawai 
rheinenergiestadion	rheinenergiestadion 
自由战士	Freedom fighter 
阿卜杜尔·贾法尔·普林戈迪格多	Abdul Jafar Prigodigedo 
时代杂志封面人物列表	List of People on the Cover of Time Magazine 
中国电子科技集团	China Electronics Technology Group 
中储券	China Reserve Voucher 
转子莲	Rotor lotus 
大雄山线	Daxiongshan Line 
美国足球协会	United States Football Association 
唯及纳太阳	Only accept the sun 
亨廷顿伯爵	Earl of Huntington 
科特迪瓦足球甲级联赛	Cote d'Ivoire Football League 
高加索诸民族	Caucasus Nations 
内布拉斯加州第三国会选区	Nebraska Third Congressional District 
通识通通识	General knowledge 
朱镜褀	Zhu Jingzhen 
南占语支	Nanzhan 
staaienveld	standing field 
高木义成	Takagi Yoshiari 
嵯峨尚子	Naoko Saga 
李亨民	Li Hengmin 
鲍家街43号	43 Baojia Street 
家用游戏机	Home game console 
乔治亚独立日	Georgia Independence Day 
桃园天皇	Emperor Taoyuan 
前寛之	Hiroyuki Mae 
卡罗尔一世	Carol I 
生日快乐_(电视剧)	Happy Birthday_ (TV series) 
salacgriva	salacgriva 
豪华轿车	Luxury car 
前222年	222 years ago 
湾内里	Bay Uchiri 
姜异康	Jiang Yikang 
数码下载	Digital download 
萨迪·伊尔马克	Sadie Ilmark 
好赞回转寿司！	Great sushi conveyor belt! 
梅克伦堡-什未林-亚历山德琳娜	Mecklenburg-Schwerin-Alexandrina 
汤加潘加	Tongan Panga 
比利时国家铁路	Belgian National Railway 
刘湘屏	Liu Xiangping 
f*	f* 
刘芷恒	Liu Zhiheng 
何直轩	He Zhixuan 
战争机器	war machine 
中华人民共和国教育部直属高等学校列表	List of colleges and universities directly under the Ministry of Education of the People's Republic of China 
新北市私立金陵女子高级中学	New Taipei City Private Jinling Girls High School 
欧洲民族	European nations 
绒毛白蜡	Fluff white wax 
企业资源计划	Enterprise Resource Planning 
西班牙的共产党	Communist Party of Spain 
美国参议院司法委员会	U.S. Senate Judiciary Committee 
铃木政二	Suzuki Masuji 
坎特柏里之声	Canterbury Voice 
中华人民共和国名誉主席	Honorary Chairman of the People's Republic of China 
也门国徽	National Emblem of Yemen 
费迪南多·玛利亚_(两西西里)	Ferdinando Maria_ (Two Sicily) 
青年工党	Youth Labor Party 
仁礼景范	Nire Kagenori 
武冈优斗	Uto Wugang 
颜国梁	Yan Guoliang 
佩鲁贾足球俱乐部	Perugia Football Club 
伏尔加联邦管区	Volga Federal District 
卡佩伦_(比利时)	Capellen_(Belgium) 
美国家庭滑稽录像	American Family Funny Videos 
火影忍者动画集数列表	Naruto animation episode list 
南格拉斯哥_(英国国会选区)	South Glasgow_(British Parliamentary District) 
工学学士	Bachelor of Engineering 
相模女子大学	Sagami Women's University 
尚卡尔·达亚尔·夏尔马	Shankar Dayal Sharma 
爪哇海	Java Sea 
兄弟斗争	Brotherhood fight 
端顺固伦公主	Princess Duan Shun Gu Lun 
蔡赴朝	Cai Fuchao 
饶舌歌手	Rapper 
勃艮第的亨利	Henry of Burgundy 
失恋33天_(电视剧)	33 days of broken love _ (TV series) 
法国矿业团	French Mining Group 
蒙大拿州立大学	Montana State University 
山口区_(昆士兰州)	Yamaguchi District_(Queensland) 
美国住房及城市发展部	U.S. Department of Housing and Urban Development 
英雄日	Hero day 
刘智玲	Liu Zhiling 
蒲田车站	Kamata Station 
意大利社会党	Italian Socialist Party 
代代木上原站	Yoyogi Uehara Station 
波罗的语族	Baltic languages 
方素敏	Fang Sumin 
.fj	.fj 
s:中华民国宪法	s: Constitution of the Republic of China 
启蒙时期哲学家	Enlightenment philosopher 
湾里里	In the bay 
中国人民政治协商会议第七届全国委员会委员名单	List of members of the Seventh National Committee of the Chinese People's Political Consultative Conference 
中国共产党山东省委员会	Shandong Provincial Committee of the Communist Party of China 
马克西米利安一世_(神圣罗马帝国)	Maximilian I_ (Holy Roman Empire) 
日本国旗	Japanese flag 
工业噪音	Industrial noise 
胜利勋章	Victory Medal 
几何反照率	Geometric albedo 
弗吉尼亚大学法学院	University of Virginia School of Law 
日野业子	Hino Nariko 
金斯顿城足球俱乐部	Kingston City Football Club 
威廉·弗莱明_(澳大利亚政治家)	William Fleming_ (Australian politician) 
威廉五世_(奥兰治)	William V_ (Orange) 
伊野尾慧	Ino Oke 
摩尔多瓦议会	Moldova Parliament 
拉姆贝斯华伦球场	Lambeth Warren Stadium 
盖尔曼矩阵	Gellman matrix 
奥林匹克运动会	Olympic Games 
比利时19岁以下国家足球队	Belgium Under-19 National Football Team 
托勒密七世	Ptolemy VII 
小川谅也	Ryoya Ogawa 
同德女子高等学校	Dongdeok Girls' High School 
武田铁矢	Takeda Tetsuya 
塞纳河畔埃皮奈	Epigny-sur-seine 
四个女仔三个bar	Four girls and three bars 
爱尔兰国家足球乙队	Ireland National Football Team 
乔治·罗伯逊，埃伦港的罗伯逊男爵	George Robertson, Baron Robertson of Port Ellen 
歌曲创作者	Song creator 
仁青加	Renqingjia 
忆江南	Recalling Jiangnan 
织田信友	Oda Shinto 
冲佳苗	Chong Jiamiao 
.bw	.bw 
佟佳氏	Tong Jiashi 
李又兰	Li Youlan 
第1航空舰队_(德国空军)	1st Air Fleet_ (German Air Force) 
柏立基教育学院	Bailiji Education College 
军械总局局长	Director of the General Bureau of Ordnance 
徐琴一	Xu Qinyi 
清水邦广	Shimizu Banghiro 
能登有沙	Arisa Noto 
全国人民大会党	National People's Congress Party 
巴基斯坦卢比	Pakistani Rupee 
王菲最精彩的演唱会	Faye Wong's most exciting concert 
德国联邦副总理	Deputy Chancellor of the Federal Republic of Germany 
埃德蒙·都铎_(萨默塞特公爵)	Edmund Tudor (Duke of Somerset) 
陈愚忠	Chen Yuzhong 
苹果咬一口	Apple bite 
7人制（脑瘫）足球	7-a-side (cerebral palsy) football 
美国陆军部部长	Secretary of the Army 
朝阳区	Chaoyang District 
后樱町天皇	Empress Go-Sakura 
全国力量联盟	National Power Alliance 
芬兰人	Finn 
西村弘司	Koji Nishimura 
燕号列车	Yan Train 
互动娱乐	Interactive entertainment 
加藤顺大	Kato Juntai 
2014/15赛季欧洲冠军联赛	2014/15 UEFA Champions League 
法国农业部	French Ministry of Agriculture 
杰普逊公司	Jepson co. 
皮罗特劳动者足球俱乐部	Pirot Laborers Football Club 
中国国家足球二队	China National Football Team 
智头町	Chizucho 
格洛纳斯系统	GLONASS System 
新民主同盟	New Democratic League 
丹麦首相	Prime Minister of Denmark 
苏日边界冲突	Soviet-Japanese border conflict 
高姓	Gao Surname 
湖山游乐场	Hushan Playground 
无浪潮	No wave 
独家追辑	Exclusive Collection 
片桐顺一郎	Jin Katagiri 
武术指导	Martial arts coach 
利奇菲尔德_(英国国会选区)	Lichfield_(British Parliamentary District) 
联合国经济及社会理事会	United Nations Economic and Social Council 
唐宁街十号	Ten Downing Street 
梅里比亚体育俱乐部	Meribia Sports Club 
团结党_(拉脱维亚)	Solidarity Party_ (Latvia) 
第一届哈达内阁	The First Hatta Cabinet 
香港岛各界联合会	Hong Kong Island Federation of All Sectors 
野田明弘	Akihiro Noda 
伏见宫博明王	King Hiromi Fushimi 
穆阿威叶一世	Muawiyah I 
意大利人民党	Italian people's party 
罗马尼亚社会民主党	Romanian Social Democratic Party 
英国-阿散蒂战争	British-Ashanti War 
东长安街	East Chang'an Avenue 
梁崇勋	Liang Chongxun 
havok引擎	havok engine 
颜志行	Yan Zhixing 
约翰·弗伦奇，第一代伊普尔伯爵	John French, the first Earl of Ypres 
裴育文	Pei Yuwen 
义大利外交部	Italian Ministry of Foreign Affairs 
福冈软银鹰	Fukuoka SoftBank Hawk 
圣灵家族	Holy spirit family 
俄罗斯空天防卫军	Russian Air and Space Defense Force 
萨高域	Sagofield 
布莱顿穹顶宫_(英国国会选区)	Brighton Dome_(British Parliamentary District) 
邵逸夫奖	Shaw Prize 
最终幻想v	Final Fantasy v 
第二次中东战争	Second Middle East War 
电台广播	Radio broadcast 
nordvest_f.c.	nordvest_f.c. 
太阳娱乐文化	Sun Entertainment Culture 
郭民英	Guo Minying 
东斯拉夫人	Eastern Slavs 
尾身幸次	Koji Omi 
aikido	aikido 
狮子芯片	Lion chip 
乌捷保	Utebao 
国家税务总局	State Administration of Taxation 
新文艺复兴建筑	Neo-renaissance architecture 
迈阿密马林鱼	Miami marlins 
英国地方政府	British local government 
拉脱维亚甲组足球联赛	Latvia First Division Football League 
动态脚本	Dynamic script 
checkmate!	checkmate! 
澳大利亚移民局	Australian immigration 
薛仁贵传奇	The Legend of Xue Rengui 
联邦院副主席	Vice Chairman of the Federal Chamber 
艾力克斯·詹姆斯_(音乐家)	Alex James_ (musician) 
手持式装置	Handheld device 
英国电影	British Film 
秘鲁保护国	Protectorate of Peru 
面向对象	Object-oriented 
海底两万里	20,000 miles under the sea 
一级方程式赛车	Formula One 
青年民主者联盟	League of Young Democrats 
日本地理分区	Geographical Division of Japan 
庇护三世	Pius III 
梁美京	Liang Meijing 
荒川稔久	Naruhisa Arakawa 
软体公司	Software company 
贵格会	Quaker 
第3骑兵团第3中队	3rd Squadron, 3rd Cavalry Regiment 
嘉定体育场	Jiading Stadium 
成都谢菲联足球俱乐部	Chengdu Sheffield United Football Club 
章亚若	Chang Ya-juo 
国立东华大学	National Dong Hwa University 
随选视讯	Video on demand 
英国君主列表	List of British monarchs 
苏格兰足球丙级联赛	Scottish Football League C 
福岛宏之	Fukushima Hiroyuki 
梅克伦堡县_(北卡罗莱纳州)	Mecklenburg County_ (North Carolina) 
canal+	channel + 
中国共产党湖南省委员会	Hunan Provincial Committee of the Communist Party of China 
顿涅茨克国立大学	Donetsk State University 
则子女王	Queen Zeko 
柳下正明	Masaaki Yanagishita 
曼谷大学足球俱乐部	Bangkok University Football Club 
胜田夏子	Natsuko Hikita 
新明和工业	Xinminghe Industry 
世界棒垒球联盟	World Baseball and Softball League 
就是娜精选辑	Jina Collection 
中央精神文明建设指导委员会办公室	Office of the Central Spiritual Civilization Construction Steering Committee 
