桥本由香利	Hashimoto Yukari 
纳兹里	Nazri 
指宿洋史	Hiroshi Ibusuki 
三户町	Sannohe Town 
州际公路系统	Interstate Highway System 
熊谷弘	Hiroshi Kumagai 
朝鲜国家少年足球队	North Korea National Junior Football Team 
五十岚广行	Igarashi Hiroyuki 
弗拉察博特夫足球俱乐部	Vracabotev Football Club 
墨西哥超级杯	Mexican Super Cup 
志水宗清	Munekiyo Shimizu 
武汉音乐学院	Wuhan Conservatory of Music 
乔子女王	Queen Joe 
黄金海岸联	Gold Coast United 
前莱茵河	Former Rhine 
坂本哲志	Tetsushi Sakamoto 
光子女王	Photon queen 
尚泰王	Shang Tai Wang 
中南工业大学	Central South University of Technology 
西班牙贵族	Spanish nobility 
法兰克·罗素，第二代罗素伯爵	Frank Russell, second generation Earl Russell 
诺沃克_(康涅狄格州)	Norwalk_ (Connecticut) 
北京北控女子足球俱乐部	Beijing Beikong Women's Football Club 
长荣国际	Evergreen International 
赛峰集团	Safran Group 
三司官	Three officers 
国立武汉大学	National Wuhan University 
时代华纳有线球场	Time Warner Cable Arena 
工会会员	Union member 
市参议员	City Senator 
后白河天皇	Emperor Shirakawa 
步步惊心：丽	Startling at every step: Li 
印度邮政编码	India Postcode 
二二六事件	226 event 
鲍克斯侯爵	Marquis of Box 
雷明顿兰德公司	Remington Rand Corporation 
大韩民国建国勋章	Medal for the Founding of the Republic of Korea 
"暴风雨行动"]	"Operation Storm"] 
芬兰中间党	Finnish Center Party 
温尼伯詹姆斯·阿姆斯特朗·理查森国际机场	Winnipeg James Armstrong Richardson International Airport 
清华学堂	Tsinghua Academy 
科瓦利斯_(俄勒冈州)	Corvallis_ (Oregon) 
畑野森生	Morio Hatano 
福斯国际电视网	Fox International Television Network 
卢安达宾菲加	Luanda Binfiga 
栉引一纪	Kushiyuki Ichiki 
澳门电台	Radio Macau 
梶山阳平	Kajiyama Yohei 
安妮阿伦德尔县	Anne Arundel County 
赞尼斯奥	Zanniso 
二十世纪福斯动画	Twentieth Century Fox Animation 
旃陀罗·笈多一世	Chandra Gupta I 
范成良	Fan Chengliang 
中华民国维新政府	Government of the Republic of China 
苏格兰高地	Scottish highlands 
南奥塞梯议会	South Ossetian Parliament 
蝙蝠女	Batgirl 
后宫_(电视剧)	Harem_(TV series) 
章瑞珍	Zhang Ruizhen 
s:国家安全会议组织法	s: National Security Conference Organic Law 
东罗马帝国皇帝	Eastern Roman Emperor 
叙利亚海军	Syrian Navy 
金郡_(华盛顿州)	King County_(Washington State) 
米沙鄢语支	Visayan branch 
德国邮政银行	Deutsche Post Bank 
山口正朗	Masao Yamaguchi 
板块构造论	Plate tectonics 
邝建新	Kwong Jianxin 
爱沙尼亚共产党	Communist Party of Estonia 
埃塞俄比亚君主列表	List of monarchs of Ethiopia 
欧洲学院	European Academy 
.th	.th 
印度尼西亚联邦共和国内阁	Cabinet of the Federal Republic of Indonesia 
长宁公主_(唐中宗之女)	Princess Changning_(Daughter of Tang Zhongzong) 
雅各比	Jacoby 
乌鲁木齐红山体育中心	Red Mountain Sports Center, Urumqi 
立陶宛共产党	Communist Party of Lithuania 
洛克希德公司	Lockheed Corporation 
约克大教堂	York Minster 
亚历山大大帝战争	Alexander the Great War 
栗原类	Kurihara 
英国摩托车大奖赛	British Motorcycle Grand Prix 
孝端显皇后	Xiao Duan Xian Queen 
爱尔兰国王	King of Ireland 
余政宪	Yu Zhengxian 
冲绳返还	Okinawa return 
理查德_(贝尔奈公爵)	Richard_ (Duke of Bernay) 
吴超觉	Wu Chaojue 
芬兰总督	Governor of Finland 
秦皇岛奥体中心	Qinhuangdao Olympic Sports Center 
史蒂芬·卡特_(巴恩斯的卡特男爵)	Stephen Carter_ (Baron Carter of Barnes) 
新古典音乐	Neoclassical music 
社会民粹主义	Social populism 
瓦伦萨_(巴伊亚州)	Valença_ (State of Bahia) 
太平公主	Princess Taiping 
小波兰省	Lesser Poland 
温特沃思_(澳大利亚国会选区)	Wentworth_ (Australian Parliamentary Constituency) 
中部标准时区	Central Standard Time Zone 
宗座梵蒂冈城国委员会	Pontifical Council of the Vatican City State 
国民收入	national income 
刘淑女_(明光宗)	Lady Liu_(Ming Guangzong) 
聊斋奇女子	Liao Zhai Qi Women 
i̇lhan_cavcav	i̇lhan_cavcav 
纽伯里_(英国国会选区)	Newbury_(British Parliamentary District) 
东线从军勋章	Eastern Frontier Medal 
方亭足球学院	Fangting Football Academy 
彩虹罗曼史	Rainbow Romance 
爱尔兰国会选区	Irish Parliamentary District 
邓六金	Deng Liujin 
皇极天皇	Emperor 
我的秘密饭店	My secret restaurant 
比利时摇滚	Belgian Rock 
剧院金属	Theater metal 
沈阳铁西体育场	Shenyang Tiexi Stadium 
空中巴士a300-600st	Airbus a300-600st 
渥太华麦克唐纳－卡蒂埃国际机场	Ottawa Macdonald-Cartier International Airport 
莱德维尔_(科罗拉多州)	Leadville_ (Colorado) 
兴宣大院君	Lord Xingxuan 
法国国立高等矿业学院集团	French National Higher School of Mining Group 
首部曲	First part 
国家发展委员会档案管理局	National Development Commission Archives Administration 
孝明高皇后	Empress Xiao Ming Gao 
英国入侵	British invasion 
怪物农场	Monster farm 
秕糠学会	The Chaff Society 
俄亥俄中心学院	Ohio Central College 
在线和离线	Online and offline 
昆明南动车运用所	Kunming South Railway Station 
大湾里	Dawanli 
戈尔诺-巴达赫尚自治州	Gorno-Badakhshan Autonomous Region 
韩国独立运动	Korean Independence Movement 
赫尔佐格和德梅隆	Herzog and De Meuron 
美国第2装甲师	U.S. 2nd Armored Division 
亨利王子_(帕尔马)	Prince Henry_ (Parma) 
滨海站	Binhai Station 
中谷元	Gen Nakatani 
苏利南中央银行	Central Bank of Suriname 
兰开斯特的约翰，第一代贝德福德公爵	John of Lancaster, the first Duke of Bedford 
新右派	New Right 
海港大桥	Harbour bridge 
社西里	Company Nishizato 
波利比乌斯	Polybius 
印度音乐	Indian music 
樋口宗孝	Munetaka Higuchi 
天彰有道	Tian Zhang Youdao 
渊男建	Yuan Nanjian 
20世纪	20th Century 
杨俊生_(足协官员)	Yang Junsheng_(Football Association Official) 
肯塔基州众议院	Kentucky House of Representatives 
安达赫治	Unterhaching 
南京五台山体育中心	Nanjing Wutaishan Sports Center 
ef-111a渡鸦式电子战飞机	ef-111a Raven electronic warfare aircraft 
波兰军团第一旅	First Brigade of the Polish Army 
弗里德里希·克里斯蒂安_(萨克森选侯)	Friedrich Christian_ (Elector of Saxony) 
下田北斗	Shimoda Hokuto 
圣伊波利特及圣露西亚同主教座堂	Cathedral of St. Hippolyte and St. Lucia 
浙江绿城	Zhejiang Greentown 
劲爆冰上曲棍球系列	Madden Ice Hockey Series 
广州恒大淘宝	Guangzhou Evergrande Taobao 
葡萄牙超级杯	Portuguese Super Cup 
崔民永	Cui Minyong 
全男孩竞技俱乐部	All Boys Athletic Club 
金球奖最佳电影女配角	Golden Globe Awards for Best Supporting Actress in a Movie 
首都师范大学附属中学	The High School Attached to Capital Normal University 
台湾栾树	Taiwan Luan Shu 
甄美里	Zhen Miri 
tarcienne	rubbing 
山明里	Akari Yama 
恭子女王	Queen Kyoko 
奥地利统治者列表	List of Austrian rulers 
蒂罗尔因斯布鲁克足球俱乐部	Tirol Innsbruck Football Club 
孙大川	Sun Dachuan 
小田急电铁	Odakyu Electric Railway 
令政策	Order policy 
长郡中学	Long County Middle School 
三月十八	March 18 
周群达	Zhou Qunda 
圣荷西市议会	San Jose City Council 
多语言	multi-language 
嘉当－迪厄多内定理	Cartan-Dieudon Theorem 
马里亚纳群岛及帛琉战事	Mariana Islands and Palau War 
冈崎和也	Kazuya Okazaki 
中丸雄一	Nakamaru Yuichi 
国际体育组织列表	List of International Sports Organizations 
凯恩与林奇：死人	Kane and Lynch: The Dead 
里斯本竞技b队	Sporting Lisbon b team 
能源方案球馆	Energy Solutions Arena 
赫塞哥维纳-涅雷特瓦州	Herzegovina-Neretva 
捷克斯洛伐克语言	Czechoslovak language 
白先勇	Bai Xianyong 
麦克唐纳飞行器公司	Macdonald Aircraft Company 
娜莉曼_(埃及王后)	Naliman_ (Queen of Egypt) 
波利萨里奥阵线	Polisario Front 
福尔斯彻奇_(维吉尼亚州)	Falls Church_ (Virginia) 
太宰府天满宫	Dazaifu Tenmangu Shrine 
【国家级人文社会科学重点研究基地】	【National Humanities and Social Sciences Key Research Base】 
file:明宪宗像.jpg	file: Munakata Munakata.jpg 
小布施町	Obuse Town 
.ga	.. But 
法国财政部长	French Minister of Finance 
巴西雷亚尔	Brazilian Real 
kolín	cologne 
非洲俱乐部	African club 
互动新闻台	Interactive News Channel 
厄里斯_(希腊神话)	Eris_ (Greek mythology) 
路易-安托万·加尔涅-帕热斯	Louis-Antoine Garnet-Pages 
密尔瓦基酿酒人	Milwaukee Brewers 
纳谷六朗	Nakuro 
雪佛兰科尔维特	Chevrolet Corvette 
森实阳三	Mori Yozo 
鲲洲里	Kunzhouli 
大冢站_(东京都)	Otsuka Station_(Tokyo) 
摩城唱片	Motown Records 
霹雳火	Thunderbolt 
孙国文	Sun Guowen 
田山凉成	Ryosei Tayama 
荷兰皇家海军学院	Royal Dutch Naval Academy 
伊伦·约里奥-居里	Irene Yorio-Curie 
荷尔斯泰因	Holstein 
一川保夫	Yasuo Ichikawa 
独立社会民主人士联盟	League of Independent Social Democrats 
比斯柏路夫斯	Bisbroughs 
阿基坦公爵	Duke of Aquitaine 
孙士毅	Sun Shiyi 
达尔文国际机场	Darwin International Airport 
欧洲篮球锦标赛	European Basketball Championship 
提克里特	Tikrit 
凯尔特音乐	Celtic Music 
美国航空中心	American Airlines Center 
阿道弗斯王子，第1代剑桥侯爵	Prince Adolphus, 1st Marquis of Cambridge 
苗金凤	Miao Jinfeng 
兰陵王_(电视剧)	King of Lanling_(TV series) 
下诺夫哥罗德州	Nizhny Novgorod Oblast 
法国革命战争	French Revolutionary War 
后庞克复兴	Post-punk revival 
郑春顺	Zheng Chunshun 
宾州大学	University of Pennsylvania 
福田靖	Fukuda Yasushi 
佛罗里达州州长	Governor of Florida 
罗曼天主教	Roman Catholic 
邦联制	Confederate System 
侯赛因-阿里·蒙塔泽里	Hussein-Ali Montazeri 
松山里	Songshanli 
小亨利·克莱	Henry Clay Jr. 
钢桁拱桥	Steel Truss Arch Bridge 
自杀黑金属	Suicide black metal 
弗里德里希·马格努斯六世_(索尔姆斯-韦尔登费尔斯)	Friedrich Magnus VI_ (Solms-Weldenfels) 
日本语系	Department of Japanese 
藤本修司	Shuji Fujimoto 
保加利亚足球先生	Bulgarian Footballer 
三级方程式大师赛	Formula 3 Masters 
宝藏王	Treasure King 
血汗泪	Blood, sweat and tears 
seganet	seganet 
北卡罗来纳大学	University of North Carolina 
贝勒尼基三世	Beleniki III 
里欧·梅麒麟	Leo Meiqilin 
aluminosilicate	aluminosilicate 
全联盟列宁主义青年共产主义联盟	All League Leninist Youth Communist League 
事业单位	Institutions 
日剧学院赏	Japanese Drama Academy Award 
美国国防部徽章	U.S. Department of Defense badge 
格鲁吉亚足球总会	Georgia Football Association 
法国23岁以下国家足球队	France U23 National Football Team 
legendaddy	legendaddy 
俄亥俄州行政区划	Ohio administrative divisions 
陆军联足球会	Army United Football Club 
中华民国一级上将列表	List of Generals of the Republic of China 
美国陆军第5军	U.S. Army 5th Corps 
乾隆帝皇九子	Emperor Qianlong's Nine Sons 
都东区	Dudong District 
扬尼克·韦斯特高	Yannick Westgaard 
中国伊斯兰教	Chinese Islam 
杜宇新	Du Yuxin 
变形本	Convertible 
金日成综合大学	Kim Il Sung University 
久保田城	Kubota Castle 
爱情食物链	Love food chain 
第二次萨姆特堡战役	Second Battle of Fort Sumter 
海军卿	Navy officer 
安德鲁·里克曼爵士	Sir Andrew Rickman 
匈牙利统治者列表	List of rulers of Hungary 
神游舞曲	Wandering dance 
塞尔维亚摇滚	Serbian Rock 
路易丝公主_(比利时)	Princess Louise_(Belgium) 
宫崎县旗	Flag of Miyazaki Prefecture 
南洲里	Nanzhouli 
读卖巨人	Yomiuri Giants 
休斯西部航空	Hughes West Air 
美国铸币局	United States Mint 
波兰人民党_(1945–1949)	Polish People's Party_(1945–1949) 
金道勋	Kim Do-hoon 
空军元帅	Air Marshal 
希腊邮政编码	Greece Postcode 
崇仁亲王妃百合子	Princess Chongren Yuriko 
谈情说案	Talk about the case 
国立交通大学	National Chiao Tung University 
巴黎条约_(1783年)	Treaty of Paris_ (1783) 
哈里斯县_(德克萨斯州)	Harris County_(Texas) 
里查·韦尔斯利，第一代韦尔斯利侯爵	Richard Wellesley, the first Marquis of Wellesley 
dr%3fme	dr%3fme 
冰岛摇滚	Icelandic Rock 
穆罕默德-巴盖尔·加利巴夫	Muhammad Bagher Galibuff 
诺福克县_(马萨诸塞州)	Norfolk County_(Massachusetts) 
中国证券监督管理委员会	China Securities Regulatory Commission 
保加利亚君主列表	List of Bulgarian monarchs 
克莱儿_(卢森堡王妃)	Claire_ (Princess of Luxembourg) 
桃乐丝·麦美伦夫人	Mrs. Dorothy McMillan 
祖伊约克	Zuyyok 
高城灵似	Similar to Reni Takagi 
乌克兰国立科学院	National Academy of Sciences of Ukraine 
匈牙利工人党	Hungarian workers' party 
唐古拉山脉	Tanggula Mountains 
波兰王后列表	List of Queens of Poland 
卢森堡中央银行	Central Bank of Luxembourg 
美国陆军第10山地师	U.S. Army 10th Mountain Division 
娱乐大网ㄎㄚ	Entertainment Big Net ㄎ ㄚ 
莫比尔机场	Mobile Airport 
德国绿党	German Green Party 
下坑里	In the pit 
浦项钢铁	Pohang Steel 
绫波零	Ayanami Zero 
义大利-西罗曼语支	Italian-Siromanese 
伯克县_(宾夕法尼亚州)	Burke County_(Pennsylvania) 
恋爱的力量	The power of love 
华盛顿州徽章	Washington State Coat of Arms 
马姓	Ma Surname 
亚利桑那响尾蛇	Arizona Rattlesnake 
地方分权制	Decentralization 
osakeyhtiö	limited company 
野末武志	Takeshi Nozue 
美国南部	Southern United States 
皇家卡塔赫纳	Royal Cartagena 
松山正治	Masaji Matsuyama 
神艺文化	Shenyi Culture 
洞里萨湖	Tonle Sap 
原子弹爆炸圆顶屋	Atomic Bomb Dome 
从属国	Dependent country 
美国演员工会奖最佳女主角	Screen Actors Guild Awards for Best Actress 
1603年联合法令	Union Act 1603 
住田贵彦	Sumita Toshihiko 
冯检基	Frederick 
内政部警政署	Police Department of the Ministry of the Interior 
瑞典中央银行	Central bank of sweden 
匈牙利青年共产主义联盟	Hungarian youth communist union 
乡田龙一	Goda Ryuichi 
明星保镳99天	Star Warrant 99 days 
经济管理学	Economic Management 
直接选举	Direct election 
东麻由美	Higashi Mayumi 
费加亚体育会	Fejaya Sports Club 
纳粹党掌权	Nazi Party in Power 
欧洲女子手球锦标赛	European Women's Handball Championship 
都会统计区	Metropolitan Statistical Area 
徐立毅	Xu Liyi 
索尼音乐娱乐公司	Sony Music Entertainment 
通州区_(南通市)	Tongzhou District_(Nantong City) 
阿尔西诺伊二世	Arcinoy II 
克罗地亚国家银行	Croatian National Bank 
波兰总统	President of Poland 
v8_(电视频道l)	v8_(TV channel l) 
阿根廷总统列表	List of Presidents of Argentina 
解放军女子足球俱乐部	People's Liberation Army Women's Football Club 
日本动画公司	Japan Animation Company 
丰臣秀次	Toyotomi Hideji 
连拿特	Linate 
昆西・普罗梅斯	Quincy Promes 
新居辰基	Xinju Chenji 
拿督端依布拉欣	Datuk Duan Ibrahim 
艾尔索达体育会	Al Soda Sports Club 
伊斯兰神学	Islamic Theology 
程序编程	Programming 
波兰下议院	Polish House of Commons 
中部赛区	Central Division 
宾福特足球俱乐部	Binford Football Club 
玛丽·斯图亚特_(英国长公主及奥兰治王妃)	Mary Stuart_ (The Princess of England and Princess of Orange) 
非政府组织	NGO 
维多利亚公主（萨克森-科堡-哥达）	Princess Victoria (Saxony-Coburg-Gotha) 
统合幕僚监部	Integrated Staff Supervision Department 
影子内阁外务大臣	Shadow cabinet foreign minister 
拉什塔特和约	Rashtat Peace Treaty 
黄绿	Yellow-green 
美国文理学院	American College of Arts and Sciences 
奥得河畔科斯琴	Koschen on Oder 
巴腾堡公主玛丽	Princess Marie of Battenberg 
我们的巴林	Our Bahrain 
南加州大学间体育联盟	Inter-University Sports League of Southern California 
太田吉彰	Yoshiaki Ota 
.mg	.mg 
西班牙邮编	Spain postcode 
社会共和党	Social Republican Party 
教宗利伯略	Pope Liberio 
史坦威公司	Steinway Corporation 
地方话	Local dialect 
兰州铁路局	Lanzhou Railway Bureau 
柳重言	Liu Zhongyan 
中国社会科学院研究生院	CASS Graduate School 
